n,k,p,repeticiones,tiempo_promedio_ms,proporcion_ordenado
1048576,4,1,5,1852.2,1
1048576,4,2,5,1326.8,1
1048576,4,4,5,720,1
1048576,4,8,5,717.4,1
1048576,8,1,5,1919.4,1
1048576,8,2,5,1250.2,1
1048576,8,4,5,704.2,1
1048576,8,8,5,399.8,1
1048576,16,1,5,615.4,1
1048576,16,2,5,364.4,1
1048576,16,4,5,207.8,1
1048576,16,8,5,123.2,1
1048576,32,1,5,436,1
1048576,32,2,5,263.6,1
1048576,32,4,5,161.8,1
1048576,32,8,5,107.2,1
1048576,64,1,5,2139,1
1048576,64,2,5,1347.6,1
1048576,64,4,5,826.6,1
1048576,64,8,5,550,1
1048576,128,1,5,743,1
1048576,128,2,5,566.4,1
1048576,128,4,5,448.4,1
1048576,128,8,5,396.2,1
4194304,4,1,5,9079.2,1
4194304,4,2,5,5444.2,1
4194304,4,4,5,2929.2,1
4194304,4,8,5,2952,1
4194304,8,1,5,17367.4,1
4194304,8,2,5,8880.8,1
4194304,8,4,5,4727,1
4194304,8,8,5,2667.6,1
4194304,16,1,5,7524,1
4194304,16,2,5,4537.6,1
4194304,16,4,5,2489.4,1
4194304,16,8,5,1407.6,1
4194304,32,1,5,7403.8,1
4194304,32,2,5,4458,1
4194304,32,4,5,2456.4,1
4194304,32,8,5,1468.2,1
4194304,64,1,5,3072.6,1
4194304,64,2,5,2060.4,1
4194304,64,4,5,1330.8,1
4194304,64,8,5,926.8,1
4194304,128,1,5,15901.6,1
4194304,128,2,5,10824,1
4194304,128,4,5,6701.6,1
4194304,128,8,5,4483,1
16777216,4,1,5,35766.8,1
16777216,4,2,5,21063.6,1
16777216,4,4,5,11331.2,1
16777216,4,8,5,11210.8,1
16777216,8,1,5,16098.6,1
16777216,8,2,5,9606.6,1
16777216,8,4,5,5146.6,1
16777216,8,8,5,2993.4,1
16777216,16,1,5,10304.2,1
16777216,16,2,5,5737.2,1
16777216,16,4,5,3270.8,1
16777216,16,8,5,1945.2,1
16777216,32,1,5,10313.2,1
16777216,32,2,5,6218.8,1
16777216,32,4,5,3493,1
16777216,32,8,5,2185.6,1
16777216,64,1,5,7649,1
16777216,64,2,5,5121.6,1
16777216,64,4,5,3540,1
16777216,64,8,5,2737,1
16777216,128,1,5,26569.8,1
16777216,128,2,5,18707,1
16777216,128,4,5,13387.2,1
16777216,128,8,5,10438.6,1
67108864,4,1,5,142889,1
67108864,4,2,5,87935.2,1
67108864,4,4,5,51753.2,1
67108864,4,8,5,51753,1
67108864,8,1,5,124875,1
67108864,8,2,5,74223.4,1
67108864,8,4,5,39528,1
67108864,8,8,5,23281.2,1
67108864,16,1,5,77408.4,1
67108864,16,2,5,44290.2,1
67108864,16,4,5,30360.2,1
67108864,16,8,5,22915.6,1
67108864,32,1,5,226224,1
67108864,32,2,5,135985,1
67108864,32,4,5,60575.4,1
67108864,32,8,5,40398.6,1
67108864,64,1,5,133970,1
67108864,64,2,5,85120.2,1
67108864,64,4,5,47438.8,1
67108864,64,8,5,29438.8,1
67108864,128,1,5,72423.8,1
67108864,128,2,5,55066,1
67108864,128,4,5,40451.6,1
67108864,128,8,5,22595.8,1
